Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,2000,Whole Year ,Andhra Pradesh,262,724,935.6,25720.54,68.12,2.78
Arhar/Tur,2000,Kharif     ,Andhra Pradesh,507366,216457,935.6,49808120.22,131915.16,0.433181818
Arhar/Tur,2000,Rabi       ,Andhra Pradesh,6098,2701,935.6,598640.66,1585.48,0.42375
Bajra,2000,Kharif     ,Andhra Pradesh,129475,135964,935.6,12710560.75,33663.5,1.001666667
Bajra,2000,Rabi       ,Andhra Pradesh,14229,12524,935.6,1396860.93,3699.54,0.883125
Banana,2000,Whole Year ,Andhra Pradesh,49051,819660,935.6,4815336.67,12753.26,17.63090909
Cashewnut,2000,Whole Year ,Andhra Pradesh,145315,31074,935.6,14265573.55,37781.9,0.190625
Castor seed,2000,Kharif     ,Andhra Pradesh,398561,136860,935.6,39126733.37,103625.86,0.339047619
Coconut ,2000,Whole Year ,Andhra Pradesh,102646,1092707179,935.6,10076757.82,26687.96,9101.813684
Coriander,2000,Whole Year ,Andhra Pradesh,58441,19993,935.6,5737152.97,15194.66,0.395
Cotton(lint),2000,Kharif     ,Andhra Pradesh,1021721,1662683,935.6,100302350.6,265647.46,1.687727273
Dry chillies,2000,Kharif     ,Andhra Pradesh,183741,410643,935.6,18037853.97,47772.66,2.146818182
Dry chillies,2000,Rabi       ,Andhra Pradesh,54262,115528,935.6,5326900.54,14108.12,2.023181818
Ginger,2000,Whole Year ,Andhra Pradesh,2329,6515,935.6,228637.93,605.54,3.14875
Gram,2000,Kharif     ,Andhra Pradesh,100,173,935.6,9817,26,1.1575
Gram,2000,Rabi       ,Andhra Pradesh,200763,228546,935.6,19708903.71,52198.38,1.4145
Groundnut,2000,Kharif     ,Andhra Pradesh,1601349,1697233,935.6,157204431.3,416350.74,0.904090909
Groundnut,2000,Rabi       ,Andhra Pradesh,272468,445720,935.6,26748183.56,70841.68,1.668181818
Horse-gram,2000,Kharif     ,Andhra Pradesh,13824,6838,935.6,1357102.08,3594.24,0.5
Horse-gram,2000,Rabi       ,Andhra Pradesh,64789,13492,935.6,6360336.13,16845.14,0.209545455
Jowar,2000,Kharif     ,Andhra Pradesh,332435,328490,935.6,32635143.95,86433.1,0.830909091
Jowar,2000,Rabi       ,Andhra Pradesh,344493,290498,935.6,33818877.81,89568.18,0.840909091
Linseed,2000,Rabi       ,Andhra Pradesh,5486,1093,935.6,538560.62,1426.36,0.2075
